N,K1D,K,CFL,Final Time,Curve cofficient,dt,Nsteps,L2 Error, Linf_err,Setup Time,Iteration Time,L2 Error time,Total Time,Finished Time
3,8,256,0.125,0.5,0,0.003125,160,0.230973,0.116924,0.01401,0.756285,0.002009,0.772304,Fri Jan  9 19:02:49 1970
2,2,16,0.125,0.5,0,0.0208333,24,14.2445,2.73584,0.00403,0.003346,0.000449,0.007825,Wed Dec 31 23:01:34 1969
3,2,16,0.125,0.5,0,0.0125,40,13.3393,3.9704,0.003618,0.008026,0.000627,0.012271,Thu Jan  1 00:19:31 1970
3,4,64,0.125,0.5,0,0.00625,80,nan,nan,0.005474,0.045088,0.000641,0.051203,Thu Jan  1 11:16:39 1970
4,4,64,0.125,0.5,0,0.00416667,120,nan,nan,0.051977,0.1045,0.001041,0.157518,Fri Jan  2 16:38:50 1970
4,8,256,0.125,0.5,0,0.00208333,240,nan,nan,0.018733,0.816892,0.001706,0.837331,Sat Jan 10 13:30:05 1970
4,4,64,0.125,0.5,0,0.00416667,120,nan,nan,0.007043,0.111398,0.000943,0.119384,Fri Jan  2 06:22:38 1970
2,2,16,0.125,0.5,0,0.0208333,24,2.47479,0.567218,0.003589,0.015519,0.000352,0.01946,Thu Jan  1 02:13:07 1970
2,8,256,0.125,0.5,0,0.00520833,96,0.750857,0.406563,0.010529,0.127501,0.000871,0.138901,Fri Jan  2 11:21:18 1970
4,8,256,0.125,0.5,0,0.00208333,240,0.0920953,0.110005,0.06476,1.06131,0.002358,1.12842,Tue Jan 13 22:13:37 1970
