N,K1D,K,CFL,Final Time,Curve cofficient,dt,Nsteps,L2 Error, Linf_errSetup Time,Iteration Time,L2 Error time,Total Time,Finished Time
1,8,256,0.125,0.5,0.1,0.0104167,48,1.10754,0.486928,0.392952,0.013309,0.000508,0.406769,Tue Jan  6 02:52:43 1970
1,16,1024,0.125,0.5,0.1,0.00520833,96,0.481904,0.299412,0.082358,0.040955,0.0022,0.125513,Fri Jan  2 23:46:55 1970
1,32,4096,0.125,0.5,0.1,0.00260417,192,0.145435,0.15676,0.269711,0.271218,0.008086,0.549015,Thu Jan  8 06:51:51 1970
1,64,16384,0.125,0.5,0.1,0.00130208,384,0.0364831,0.0458901,2.58557,1.63169,0.028846,4.24611,Sat Feb 21 04:02:28 1970
1,128,65536,0.125,0.5,0.1,0.000651042,768,0.008767,0.0116003,36.6218,12.2687,0.130951,49.0214,Thu Jul 29 08:18:07 1971
2,8,256,0.125,0.5,0.1,0.00520833,96,0.390426,0.427057,0.394605,0.024715,0.000788,0.420108,Tue Jan  6 07:03:33 1970
2,16,1024,0.125,0.5,0.1,0.00260417,192,0.0772149,0.170082,0.097215,0.150576,0.003251,0.251042,Sun Jan  4 13:15:27 1970
2,32,4096,0.125,0.5,0.1,0.00130208,384,0.0109913,0.0357085,0.324936,0.762056,0.012155,1.09915,Wed Jan 14 18:17:58 1970
2,64,16384,0.125,0.5,0.1,0.000651042,768,0.00162332,0.00555006,2.80979,4.65015,0.045114,7.50505,Wed Apr  1 01:10:33 1970
2,128,65536,0.125,0.5,0.1,0.000325521,1536,0.000254168,0.00101458,37.985,40.7939,0.192998,78.9718,Wed Jul 12 03:22:53 1972
3,8,256,0.125,0.5,0.1,0.003125,160,0.181035,0.305597,0.073993,0.042886,0.001658,0.118537,Fri Jan  2 12:01:12 1970
3,16,1024,0.125,0.5,0.1,0.0015625,320,0.0195632,0.0702658,0.12597,0.170544,0.005381,0.301895,Sun Jan  4 21:55:10 1970
3,32,4096,0.125,0.5,0.1,0.00078125,640,0.00159687,0.0102967,0.449948,1.1634,0.020032,1.63338,Tue Jan 20 17:59:13 1970
3,64,16384,0.125,0.5,0.1,0.000390625,1280,9.16908e-05,0.000632278,3.31155,8.69849,0.080761,12.0908,Sat May 23 21:16:28 1970
3,128,65536,0.125,0.5,0.1,0.000195313,2560,5.5242e-06,3.98797e-05,40.1344,88.6103,0.364966,129.11,Thu Feb 14 10:09:18 1974
4,8,256,0.125,0.5,0.1,0.00208333,240,0.0875609,0.481508,0.450206,0.09236,0.002157,0.544723,Wed Jan  7 15:43:33 1970
4,16,1024,0.125,0.5,0.1,0.00104167,480,0.00561709,0.0443415,0.183987,0.415693,0.008299,0.607979,Thu Jan  8 12:33:40 1970
4,32,4096,0.125,0.5,0.1,0.000520833,960,0.000218319,0.00224065,0.671161,2.77474,0.030903,3.47681,Wed Feb 11 13:56:50 1970
4,64,16384,0.125,0.5,0.1,0.000260417,1920,7.54127e-06,0.000101535,4.25134,29.201,0.121622,33.5739,Wed Feb  3 17:10:12 1971
4,128,65536,0.125,0.5,0.1,0.000130208,3840,2.72368e-07,3.57239e-06,43.9281,304.743,0.558778,349.23,Thu Feb 12 12:01:09 1981
5,8,256,0.125,0.5,0.1,0.0014881,336,0.0433065,0.108476,0.122715,0.1704,0.004275,0.29739,Sun Jan  4 19:40:43 1970
5,16,1024,0.125,0.5,0.1,0.000744048,672,0.00158344,0.00885527,0.309381,1.09102,0.012231,1.41263,Sun Jan 18 04:58:34 1970
5,32,4096,0.125,0.5,0.1,0.000372024,1344,3.54334e-05,0.000270389,1.19121,8.31514,0.041456,9.5478,Fri Apr 24 04:47:38 1970
5,64,16384,0.125,0.5,0.1,0.000186012,2688,5.57749e-07,3.822e-06,6.35915,143.195,0.168717,149.722,Mon Oct 21 14:45:10 1974
5,128,65536,0.125,0.5,0.1,9.3006e-05,5376,8.85045e-09,5.97552e-08,51.2034,1052.81,0.807401,1104.82,Sun Feb 13 06:14:57 2005
